"Id","Data da venda","Preço unitario","Quantidade vencida","Descrição Eletrodoméstico","Nome do Fornecedor","Nome do Vendedor","Cidade","Estado","Nome Gerente","Cargo Gerente","Total de vendas"
29,"2024-10-21",90,7,"Ferro de passar seco","Britânia","Juliana Costa","Juiz de fora","Minas Gerais","Carlos Andrade","Comercial",630
30,"2023-06-07",150,9,"Liquidificador 800W","Mondial","André Carvalho","Caxias do Sul","Paraná","João Batista","Operações",1350
31,"2023-12-26",2200,4,"Freezer horizontal 300L","Consul","Eduardo Silva","Majé","Rio de Janeiro","Ricardo Mendes","Logística",8800
32,"2024-01-14",180,12,"Torradeira elétrica","Cadence","Felipe Moreira","Caxias do Sul","Paraná","João Batista","Operações",2160
33,"2025-12-09",350,16,"Ventilador de coluna","Arno","André Carvalho","Caxias do Sul","Paraná","João Batista","Operações",5600
34,"2025-11-29",3200,13,"Geladeira Frost Free 400L","Electrolux","Gustavo Ribeiro","Santo Amaro","Espirito Santo","Mariana Oliveira","Marketing",41600
35,"2023-11-18",850,8,"Bebedouro elétrico","IBBL","Tatiane Melo","Caxias do Sul","Paraná","João Batista","Operações",6800
36,"2022-11-02",180,13,"Torradeira elétrica","Cadence","Rafael Nogueira","Juiz de fora","Minas Gerais","Carlos Andrade","Comercial",2340
37,"2023-12-13",2500,11,"Lava-louças 10 serviços","Brastemp","André Carvalho","Caxias do Sul","Paraná","João Batista","Operações",27500
38,"2022-01-27",250,14,"Secador de cabelo 2000W","Taiff","Ana Martins","Juiz de fora","Minas Gerais","Carlos Andrade","Comercial",3500
39,"2024-11-02",1000,2,"Purificador de água","Consul","Tatiane Melo","Caxias do Sul","Paraná","João Batista","Operações",2000
40,"2025-03-19",750,5,"Forno elétrico 35L","Philco","Rodrigo Correia","Majé","Rio de Janeiro","Ricardo Mendes","Logística",3750
41,"2024-12-28",1800,13,"Fogão 5 bocas","Atlas","Gustavo Ribeiro","Santo Amaro","Espirito Santo","Mariana Oliveira","Marketing",23400
42,"2023-10-21",2000,2,"Ar-condicionado Split 12k","LG","Gustavo Ribeiro","Santo Amaro","Espirito Santo","Mariana Oliveira","Marketing",4000
43,"2022-06-07",90,13,"Ferro de passar seco","Britânia","Marcelo Tavares","Santo andré","São Paulo","Fernanda Souza","Financeiro",1170
44,"2025-06-30",4500,20,"Geladeira Duplex 500L","Brastemp","Ana Martins","Juiz de fora","Minas Gerais","Carlos Andrade","Comercial",90000
45,"2025-06-11",250,19,"Secador de cabelo 2000W","Taiff","Daniela Pires","Santo Amaro","Espirito Santo","Mariana Oliveira","Marketing",4750
46,"2024-06-18",180,3,"Liquidificador 1000W","Arno","Rodrigo Correia","Majé","Rio de Janeiro","Ricardo Mendes","Logística",540
47,"2024-02-14",2200,13,"Máquina de Lavar 12kg","Samsung","Bruno Almeida","Santo andré","São Paulo","Fernanda Souza","Financeiro",28600
48,"2024-10-13",2000,20,"Ar-condicionado Split 12k","LG","Gustavo Ribeiro","Santo Amaro","Espirito Santo","Mariana Oliveira","Marketing",40000
49,"2023-07-04",2800,15,"Ar-condicionado Split 18k","Samsung","Lucas Barros","Santo Amaro","Espirito Santo","Mariana Oliveira","Marketing",42000
50,"2025-03-16",1500,5,"Coifa de parede inox","Electrolux","Daniela Pires","Santo Amaro","Espirito Santo","Mariana Oliveira","Marketing",7500
51,"2025-12-31",900,7,"Forno elétrico 45L","Fischer","Rafael Nogueira","Juiz de fora","Minas Gerais","Carlos Andrade","Comercial",6300
52,"2025-03-07",2800,20,"Máquina de Lavar 15kg","Brastemp","Daniela Pires","Santo Amaro","Espirito Santo","Mariana Oliveira","Marketing",56000
53,"2025-08-26",180,9,"Secador de cabelo 1600W","Philco","Tatiane Melo","Caxias do Sul","Paraná","João Batista","Operações",1620
54,"2023-04-20",2500,13,"Lava-louças 10 serviços","Brastemp","Bianca Santos","Majé","Rio de Janeiro","Ricardo Mendes","Logística",32500
55,"2024-09-07",1500,11,"Coifa de parede inox","Electrolux","Patrícia Duarte","Caxias do Sul","Paraná","João Batista","Operações",16500
56,"2023-10-25",850,14,"Bebedouro elétrico","IBBL","Eduardo Silva","Majé","Rio de Janeiro","Ricardo Mendes","Logística",11900
57,"2023-09-09",2000,2,"Ar-condicionado Split 12k","LG","Mariana Teixeira","Majé","Rio de Janeiro","Ricardo Mendes","Logística",4000
58,"2022-10-22",850,2,"Bebedouro elétrico","IBBL","Patrícia Duarte","Caxias do Sul","Paraná","João Batista","Operações",1700
59,"2022-03-01",200,20,"Ventilador de mesa","Mondial","Pedro Lima","Juiz de fora","Minas Gerais","Carlos Andrade","Comercial",4000
60,"2022-01-06",2500,18,"Freezer vertical 280L","Brastemp","Juliana Costa","Juiz de fora","Minas Gerais","Carlos Andrade","Comercial",45000
61,"2024-05-02",350,2,"Panela elétrica multifunc.","Britânia","Camila Ferreira","Santo andré","São Paulo","Fernanda Souza","Financeiro",700
62,"2023-04-08",350,5,"Panela elétrica multifunc.","Britânia","Juliana Costa","Juiz de fora","Minas Gerais","Carlos Andrade","Comercial",1750
63,"2024-05-02",2500,15,"Freezer vertical 280L","Brastemp","Patrícia Duarte","Caxias do Sul","Paraná","João Batista","Operações",37500
64,"2023-11-12",2500,2,"Freezer vertical 280L","Brastemp","Rafael Nogueira","Juiz de fora","Minas Gerais","Carlos Andrade","Comercial",5000
65,"2025-11-30",1000,8,"Purificador de água","Consul","Larissa Rocha","Santo andré","São Paulo","Fernanda Souza","Financeiro",8000
66,"2022-07-18",1500,15,"Aspirador de pó robô","Xiaomi","Camila Ferreira","Santo andré","São Paulo","Fernanda Souza","Financeiro",22500
67,"2025-01-31",180,12,"Secador de cabelo 1600W","Philco","Gustavo Ribeiro","Santo Amaro","Espirito Santo","Mariana Oliveira","Marketing",2160
68,"2022-03-28",1200,2,"Cafeteira expresso","Nespresso","Larissa Rocha","Santo andré","São Paulo","Fernanda Souza","Financeiro",2400
69,"2023-07-02",180,7,"Secador de cabelo 1600W","Philco","André Carvalho","Caxias do Sul","Paraná","João Batista","Operações",1260
70,"2023-01-31",1200,6,"Fogão 4 bocas","Consul","Larissa Rocha","Santo andré","São Paulo","Fernanda Souza","Financeiro",7200
71,"2022-10-30",350,15,"Panela elétrica multifunc.","Britânia","Bianca Santos","Majé","Rio de Janeiro","Ricardo Mendes","Logística",5250
72,"2025-10-04",1500,9,"Coifa de parede inox","Electrolux","Rafael Nogueira","Juiz de fora","Minas Gerais","Carlos Andrade","Comercial",13500
73,"2022-02-22",2200,17,"Freezer horizontal 300L","Consul","Pedro Lima","Juiz de fora","Minas Gerais","Carlos Andrade","Comercial",37400
74,"2025-01-19",250,11,"Secador de cabelo 2000W","Taiff","Mariana Teixeira","Majé","Rio de Janeiro","Ricardo Mendes","Logística",2750
75,"2023-01-20",1000,9,"Purificador de água","Consul","André Carvalho","Caxias do Sul","Paraná","João Batista","Operações",9000
76,"2023-09-26",2500,19,"Freezer vertical 280L","Brastemp","André Carvalho","Caxias do Sul","Paraná","João Batista","Operações",47500
77,"2023-07-31",250,5,"Secador de cabelo 2000W","Taiff","Larissa Rocha","Santo andré","São Paulo","Fernanda Souza","Financeiro",1250
78,"2024-07-09",850,20,"Bebedouro elétrico","IBBL","Tatiane Melo","Caxias do Sul","Paraná","João Batista","Operações",17000
79,"2022-09-28",2200,6,"Máquina de Lavar 12kg","Samsung","Juliana Costa","Juiz de fora","Minas Gerais","Carlos Andrade","Comercial",13200
80,"2025-11-03",250,15,"Secador de cabelo 2000W","Taiff","Daniela Pires","Santo Amaro","Espirito Santo","Mariana Oliveira","Marketing",3750
81,"2024-07-28",200,8,"Ventilador de mesa","Mondial","Lucas Barros","Santo Amaro","Espirito Santo","Mariana Oliveira","Marketing",1600
82,"2025-02-04",2200,6,"Freezer horizontal 300L","Consul","Rafael Nogueira","Juiz de fora","Minas Gerais","Carlos Andrade","Comercial",13200
83,"2022-11-01",900,9,"Forno elétrico 45L","Fischer","Simone Azevedo","Santo Amaro","Espirito Santo","Mariana Oliveira","Marketing",8100
84,"2023-02-19",1500,17,"Coifa de parede inox","Electrolux","Camila Ferreira","Santo andré","São Paulo","Fernanda Souza","Financeiro",25500
85,"2023-02-02",750,16,"Forno elétrico 35L","Philco","Larissa Rocha","Santo andré","São Paulo","Fernanda Souza","Financeiro",12000
86,"2023-05-28",1500,19,"Aspirador de pó robô","Xiaomi","Simone Azevedo","Santo Amaro","Espirito Santo","Mariana Oliveira","Marketing",28500
87,"2022-11-11",180,4,"Secador de cabelo 1600W","Philco","Larissa Rocha","Santo andré","São Paulo","Fernanda Souza","Financeiro",720
88,"2023-02-17",180,14,"Torradeira elétrica","Cadence","Rodrigo Correia","Majé","Rio de Janeiro","Ricardo Mendes","Logística",2520
89,"2023-11-07",300,13,"Cafeteira elétrica 30 xícs","Oster","Mariana Teixeira","Majé","Rio de Janeiro","Ricardo Mendes","Logística",3900
90,"2024-09-13",400,20,"Batedeira Planetária","Philco","André Carvalho","Caxias do Sul","Paraná","João Batista","Operações",8000
91,"2022-06-12",2800,12,"Máquina de Lavar 15kg","Brastemp","Simone Azevedo","Santo Amaro","Espirito Santo","Mariana Oliveira","Marketing",33600
92,"2025-05-01",500,15,"Micro-ondas 25L","LG","Gustavo Ribeiro","Santo Amaro","Espirito Santo","Mariana Oliveira","Marketing",7500
93,"2022-08-23",2800,17,"Ar-condicionado Split 18k","Samsung","Bianca Santos","Majé","Rio de Janeiro","Ricardo Mendes","Logística",47600
94,"2024-12-19",180,17,"Torradeira elétrica","Cadence","Daniela Pires","Santo Amaro","Espirito Santo","Mariana Oliveira","Marketing",3060
95,"2025-12-09",350,13,"Panela elétrica multifunc.","Britânia","Pedro Lima","Juiz de fora","Minas Gerais","Carlos Andrade","Comercial",4550
96,"2024-12-03",250,10,"Secador de cabelo 2000W","Taiff","Juliana Costa","Juiz de fora","Minas Gerais","Carlos Andrade","Comercial",2500
97,"2023-01-10",2500,17,"Freezer vertical 280L","Brastemp","Felipe Moreira","Caxias do Sul","Paraná","João Batista","Operações",42500
98,"2025-02-15",200,1,"Chaleira elétrica inox","Oster","Ana Martins","Juiz de fora","Minas Gerais","Carlos Andrade","Comercial",200
99,"2023-07-23",4500,1,"Geladeira Duplex 500L","Brastemp","Tatiane Melo","Caxias do Sul","Paraná","João Batista","Operações",4500
100,"2023-05-10",2000,5,"Ar-condicionado Split 12k","LG","Gustavo Ribeiro","Santo Amaro","Espirito Santo","Mariana Oliveira","Marketing",10000
101,"2024-07-09",350,1,"Panela elétrica multifunc.","Britânia","Bruno Almeida","Santo andré","São Paulo","Fernanda Souza","Financeiro",350
102,"2025-06-15",250,15,"Secador de cabelo 2000W","Taiff","Bianca Santos","Majé","Rio de Janeiro","Ricardo Mendes","Logística",3750
103,"2024-09-17",2000,13,"Ar-condicionado Split 12k","LG","Bianca Santos","Majé","Rio de Janeiro","Ricardo Mendes","Logística",26000
104,"2023-12-15",1500,7,"Aspirador de pó robô","Xiaomi","Camila Ferreira","Santo andré","São Paulo","Fernanda Souza","Financeiro",10500
105,"2025-05-15",2800,8,"Máquina de Lavar 15kg","Brastemp","Marcelo Tavares","Santo andré","São Paulo","Fernanda Souza","Financeiro",22400
106,"2023-01-05",350,6,"Ventilador de coluna","Arno","Rodrigo Correia","Majé","Rio de Janeiro","Ricardo Mendes","Logística",2100
107,"2024-10-12",2500,1,"Freezer vertical 280L","Brastemp","Bruno Almeida","Santo andré","São Paulo","Fernanda Souza","Financeiro",2500
108,"2024-06-01",450,1,"Aspirador de pó vertical","Philco","Patrícia Duarte","Caxias do Sul","Paraná","João Batista","Operações",450
109,"2024-11-20",220,5,"Panela elétrica de arroz","Mondial","Bianca Santos","Majé","Rio de Janeiro","Ricardo Mendes","Logística",1100
110,"2025-09-07",180,7,"Torradeira elétrica","Cadence","Marcelo Tavares","Santo andré","São Paulo","Fernanda Souza","Financeiro",1260
111,"2022-11-27",850,17,"Bebedouro elétrico","IBBL","Patrícia Duarte","Caxias do Sul","Paraná","João Batista","Operações",14450
112,"2023-03-12",500,3,"Micro-ondas 25L","LG","Rodrigo Correia","Majé","Rio de Janeiro","Ricardo Mendes","Logística",1500
113,"2025-09-29",2200,19,"Freezer horizontal 300L","Consul","André Carvalho","Caxias do Sul","Paraná","João Batista","Operações",41800
114,"2023-01-16",1200,17,"Cafeteira expresso","Nespresso","Rodrigo Correia","Majé","Rio de Janeiro","Ricardo Mendes","Logística",20400
115,"2024-02-10",120,18,"Ferro de passar a vapor","Arno","Bruno Almeida","Santo andré","São Paulo","Fernanda Souza","Financeiro",2160
116,"2025-03-14",3200,6,"Geladeira Frost Free 400L","Electrolux","Eduardo Silva","Majé","Rio de Janeiro","Ricardo Mendes","Logística",19200
117,"2023-09-12",150,10,"Sanduicheira elétrica","Mondial","Daniela Pires","Santo Amaro","Espirito Santo","Mariana Oliveira","Marketing",1500
118,"2022-05-01",350,9,"Panela elétrica multifunc.","Britânia","Larissa Rocha","Santo andré","São Paulo","Fernanda Souza","Financeiro",3150
119,"2024-07-26",350,5,"Panela elétrica multifunc.","Britânia","Simone Azevedo","Santo Amaro","Espirito Santo","Mariana Oliveira","Marketing",1750
120,"2024-05-21",150,3,"Liquidificador 800W","Mondial","Marcelo Tavares","Santo andré","São Paulo","Fernanda Souza","Financeiro",450
121,"2023-11-02",350,10,"Ventilador de coluna","Arno","Simone Azevedo","Santo Amaro","Espirito Santo","Mariana Oliveira","Marketing",3500
122,"2024-02-28",220,11,"Panela elétrica de arroz","Mondial","Patrícia Duarte","Caxias do Sul","Paraná","João Batista","Operações",2420
123,"2022-12-27",200,12,"Chaleira elétrica inox","Oster","Gustavo Ribeiro","Santo Amaro","Espirito Santo","Mariana Oliveira","Marketing",2400
124,"2022-11-25",200,20,"Chaleira elétrica inox","Oster","Patrícia Duarte","Caxias do Sul","Paraná","João Batista","Operações",4000
125,"2023-08-18",180,11,"Torradeira elétrica","Cadence","Marcelo Tavares","Santo andré","São Paulo","Fernanda Souza","Financeiro",1980
126,"2024-01-29",1500,10,"Coifa de parede inox","Electrolux","Juliana Costa","Juiz de fora","Minas Gerais","Carlos Andrade","Comercial",15000
127,"2025-01-23",2000,18,"Ar-condicionado Split 12k","LG","Juliana Costa","Juiz de fora","Minas Gerais","Carlos Andrade","Comercial",36000
128,"2025-07-31",400,11,"Batedeira Planetária","Philco","Patrícia Duarte","Caxias do Sul","Paraná","João Batista","Operações",4400
129,"2024-10-03",200,9,"Ventilador de mesa","Mondial","Lucas Barros","Santo Amaro","Espirito Santo","Mariana Oliveira","Marketing",1800
130,"2025-07-11",900,3,"Forno elétrico 45L","Fischer","Patrícia Duarte","Caxias do Sul","Paraná","João Batista","Operações",2700
131,"2024-03-17",180,18,"Secador de cabelo 1600W","Philco","André Carvalho","Caxias do Sul","Paraná","João Batista","Operações",3240
132,"2023-09-03",500,8,"Micro-ondas 25L","LG","Bianca Santos","Majé","Rio de Janeiro","Ricardo Mendes","Logística",4000
133,"2022-06-26",400,3,"Batedeira Planetária","Philco","Bianca Santos","Majé","Rio de Janeiro","Ricardo Mendes","Logística",1200
134,"2024-03-08",280,15,"Grill elétrico","George Foreman","Ana Martins","Juiz de fora","Minas Gerais","Carlos Andrade","Comercial",4200
135,"2023-10-13",2500,17,"Lava-louças 10 serviços","Brastemp","Mariana Teixeira","Majé","Rio de Janeiro","Ricardo Mendes","Logística",42500
136,"2025-01-24",280,15,"Grill elétrico","George Foreman","Camila Ferreira","Santo andré","São Paulo","Fernanda Souza","Financeiro",4200
137,"2023-05-22",2800,2,"Ar-condicionado Split 18k","Samsung","Larissa Rocha","Santo andré","São Paulo","Fernanda Souza","Financeiro",5600
138,"2025-09-24",180,15,"Torradeira elétrica","Cadence","Daniela Pires","Santo Amaro","Espirito Santo","Mariana Oliveira","Marketing",2700
139,"2022-10-16",1200,3,"Fogão 4 bocas","Consul","Simone Azevedo","Santo Amaro","Espirito Santo","Mariana Oliveira","Marketing",3600
140,"2023-01-11",1000,16,"Purificador de água","Consul","Daniela Pires","Santo Amaro","Espirito Santo","Mariana Oliveira","Marketing",16000
141,"2025-09-17",400,14,"Batedeira Planetária","Philco","Pedro Lima","Juiz de fora","Minas Gerais","Carlos Andrade","Comercial",5600
142,"2022-03-22",3000,1,"Lava-louças 14 serviços","Electrolux","Simone Azevedo","Santo Amaro","Espirito Santo","Mariana Oliveira","Marketing",3000
143,"2023-06-17",2000,17,"Ar-condicionado Split 12k","LG","Juliana Costa","Juiz de fora","Minas Gerais","Carlos Andrade","Comercial",34000
144,"2025-10-18",350,6,"Ventilador de coluna","Arno","Simone Azevedo","Santo Amaro","Espirito Santo","Mariana Oliveira","Marketing",2100
145,"2024-07-12",3200,9,"Geladeira Frost Free 400L","Electrolux","André Carvalho","Caxias do Sul","Paraná","João Batista","Operações",28800
146,"2023-09-06",1200,5,"Fogão 4 bocas","Consul","Daniela Pires","Santo Amaro","Espirito Santo","Mariana Oliveira","Marketing",6000
147,"2025-10-23",2200,3,"Máquina de Lavar 12kg","Samsung","Bianca Santos","Majé","Rio de Janeiro","Ricardo Mendes","Logística",6600
148,"2023-11-18",350,12,"Ventilador de coluna","Arno","Camila Ferreira","Santo andré","São Paulo","Fernanda Souza","Financeiro",4200
149,"2023-07-02",180,2,"Torradeira elétrica","Cadence","Marcelo Tavares","Santo andré","São Paulo","Fernanda Souza","Financeiro",360
150,"2022-02-02",450,20,"Aspirador de pó vertical","Philco","Daniela Pires","Santo Amaro","Espirito Santo","Mariana Oliveira","Marketing",9000
151,"2025-11-19",2500,2,"Lava-louças 10 serviços","Brastemp","Juliana Costa","Juiz de fora","Minas Gerais","Carlos Andrade","Comercial",5000
152,"2023-09-05",1000,11,"Purificador de água","Consul","Larissa Rocha","Santo andré","São Paulo","Fernanda Souza","Financeiro",11000
153,"2025-06-25",180,3,"Liquidificador 1000W","Arno","Camila Ferreira","Santo andré","São Paulo","Fernanda Souza","Financeiro",540
154,"2023-10-18",2800,1,"Máquina de Lavar 15kg","Brastemp","Felipe Moreira","Caxias do Sul","Paraná","João Batista","Operações",2800
155,"2024-01-06",250,20,"Batedeira simples","Britânia","Rodrigo Correia","Majé","Rio de Janeiro","Ricardo Mendes","Logística",5000
156,"2022-08-13",300,5,"Cafeteira elétrica 30 xícs","Oster","Mariana Teixeira","Majé","Rio de Janeiro","Ricardo Mendes","Logística",1500
157,"2022-05-07",750,1,"Forno elétrico 35L","Philco","André Carvalho","Caxias do Sul","Paraná","João Batista","Operações",750
158,"2022-12-02",150,16,"Liquidificador 800W","Mondial","Eduardo Silva","Majé","Rio de Janeiro","Ricardo Mendes","Logística",2400
159,"2025-05-24",200,18,"Ventilador de mesa","Mondial","Bruno Almeida","Santo andré","São Paulo","Fernanda Souza","Financeiro",3600
160,"2022-10-22",200,7,"Ventilador de mesa","Mondial","Pedro Lima","Juiz de fora","Minas Gerais","Carlos Andrade","Comercial",1400
161,"2025-09-22",500,6,"Micro-ondas 25L","LG","Gustavo Ribeiro","Santo Amaro","Espirito Santo","Mariana Oliveira","Marketing",3000
162,"2024-12-01",200,16,"Ventilador de mesa","Mondial","Larissa Rocha","Santo andré","São Paulo","Fernanda Souza","Financeiro",3200
163,"2022-06-02",2800,11,"Máquina de Lavar 15kg","Brastemp","Patrícia Duarte","Caxias do Sul","Paraná","João Batista","Operações",30800
164,"2023-03-18",350,18,"Ventilador de coluna","Arno","Patrícia Duarte","Caxias do Sul","Paraná","João Batista","Operações",6300
165,"2025-05-09",280,20,"Grill elétrico","George Foreman","Tatiane Melo","Caxias do Sul","Paraná","João Batista","Operações",5600
166,"2023-12-28",250,9,"Batedeira simples","Britânia","Simone Azevedo","Santo Amaro","Espirito Santo","Mariana Oliveira","Marketing",2250
167,"2022-08-17",250,16,"Secador de cabelo 2000W","Taiff","André Carvalho","Caxias do Sul","Paraná","João Batista","Operações",4000
168,"2024-02-04",200,4,"Ventilador de mesa","Mondial","Lucas Barros","Santo Amaro","Espirito Santo","Mariana Oliveira","Marketing",800
169,"2023-01-08",350,6,"Panela elétrica multifunc.","Britânia","Camila Ferreira","Santo andré","São Paulo","Fernanda Souza","Financeiro",2100
170,"2022-03-21",350,19,"Panela elétrica multifunc.","Britânia","Rodrigo Correia","Majé","Rio de Janeiro","Ricardo Mendes","Logística",6650
171,"2025-01-11",600,18,"Exaustor de cozinha","Tramontina","Ana Martins","Juiz de fora","Minas Gerais","Carlos Andrade","Comercial",10800
172,"2025-10-19",200,11,"Ventilador de mesa","Mondial","Rodrigo Correia","Majé","Rio de Janeiro","Ricardo Mendes","Logística",2200
173,"2023-09-18",1500,17,"Aspirador de pó robô","Xiaomi","Felipe Moreira","Caxias do Sul","Paraná","João Batista","Operações",25500
174,"2025-08-12",350,11,"Ventilador de coluna","Arno","Juliana Costa","Juiz de fora","Minas Gerais","Carlos Andrade","Comercial",3850
175,"2024-09-01",2200,3,"Máquina de Lavar 12kg","Samsung","Mariana Teixeira","Majé","Rio de Janeiro","Ricardo Mendes","Logística",6600
176,"2024-01-07",250,20,"Secador de cabelo 2000W","Taiff","Marcelo Tavares","Santo andré","São Paulo","Fernanda Souza","Financeiro",5000
177,"2022-07-30",1200,7,"Cafeteira expresso","Nespresso","Felipe Moreira","Caxias do Sul","Paraná","João Batista","Operações",8400
178,"2023-10-30",600,6,"Exaustor de cozinha","Tramontina","Bruno Almeida","Santo andré","São Paulo","Fernanda Souza","Financeiro",3600
179,"2022-10-05",120,7,"Ferro de passar a vapor","Arno","Camila Ferreira","Santo andré","São Paulo","Fernanda Souza","Financeiro",840
180,"2024-04-20",2800,16,"Ar-condicionado Split 18k","Samsung","Juliana Costa","Juiz de fora","Minas Gerais","Carlos Andrade","Comercial",44800
181,"2024-07-16",350,15,"Panela elétrica multifunc.","Britânia","Simone Azevedo","Santo Amaro","Espirito Santo","Mariana Oliveira","Marketing",5250
182,"2024-10-23",2500,11,"Lava-louças 10 serviços","Brastemp","Marcelo Tavares","Santo andré","São Paulo","Fernanda Souza","Financeiro",27500
183,"2022-03-09",350,11,"Panela elétrica multifunc.","Britânia","Pedro Lima","Juiz de fora","Minas Gerais","Carlos Andrade","Comercial",3850
184,"2024-09-10",2800,18,"Ar-condicionado Split 18k","Samsung","Ana Martins","Juiz de fora","Minas Gerais","Carlos Andrade","Comercial",50400
185,"2023-04-08",180,16,"Secador de cabelo 1600W","Philco","Rafael Nogueira","Juiz de fora","Minas Gerais","Carlos Andrade","Comercial",2880
186,"2024-10-10",2000,8,"Ar-condicionado Split 12k","LG","Bianca Santos","Majé","Rio de Janeiro","Ricardo Mendes","Logística",16000
187,"2024-08-11",1200,19,"Cafeteira expresso","Nespresso","Camila Ferreira","Santo andré","São Paulo","Fernanda Souza","Financeiro",22800
188,"2024-08-14",1800,18,"Fogão 5 bocas","Atlas","Gustavo Ribeiro","Santo Amaro","Espirito Santo","Mariana Oliveira","Marketing",32400
189,"2024-12-25",600,2,"Exaustor de cozinha","Tramontina","Gustavo Ribeiro","Santo Amaro","Espirito Santo","Mariana Oliveira","Marketing",1200
190,"2023-04-12",750,19,"Forno elétrico 35L","Philco","Tatiane Melo","Caxias do Sul","Paraná","João Batista","Operações",14250
191,"2025-05-01",1200,15,"Cafeteira expresso","Nespresso","Ana Martins","Juiz de fora","Minas Gerais","Carlos Andrade","Comercial",18000
192,"2023-01-15",150,1,"Liquidificador 800W","Mondial","Marcelo Tavares","Santo andré","São Paulo","Fernanda Souza","Financeiro",150
193,"2024-05-17",2800,10,"Ar-condicionado Split 18k","Samsung","Mariana Teixeira","Majé","Rio de Janeiro","Ricardo Mendes","Logística",28000
